diggCount,followerCount,followingCount,heartCount,videoCount,commentSetting,downloadSetting,duetSetting,nickname,openFavorite,signature,stitchSetting,uniqueId,verified,fake
279,0,564,0,0,0,0,0,Tik Toker,False,No bio yet,0,gyzituvigy542,False,True
1198,71,9980,0,0,0,0,0,BEULAH,True,,0,tshphjtowl2401583tbww,False,True
2968,596,1123,2062,266,0,0,0,Lello27,False,,0,aristanismamojadanuoro,False,False
2351,200,818,435,36,0,0,0,clemevitale,False,,0,clemevitale,False,False
40300,1100000,52,10000000,720,0,3,1,Saher Monther,False,YouTuber star ⭐️,0,sahermonther,True,False
334,0,604,0,0,0,0,0,Tik Toker,False,No bio yet,0,exidyvetoqygyv,False,True
314,196,164,448,33,0,0,0,marysoloxidiananu,False,,0,marysoloxidiananu,False,False
534,0,510,0,0,0,0,0,Tik Toker,False,No bio yet,0,tetorazusasi458,False,True
380,0,564,0,0,0,0,0,Tik Toker,False,No bio yet,0,uqyfikiqyvamov,False,True
245,4,757,0,0,0,0,0,Tik Toker,False,No bio yet,0,edijokymuly395,False,True
3079,266,266,77,8,0,0,0,Angela Scala,False,,0,angelascala2,False,False
0,1,127,0,10,0,0,0,user7929804350808,False,,0,user7929804350808,False,True
339,3,731,0,0,0,0,0,Tik Toker,False,No bio yet,0,cavovosesijuso,False,True
1737,718,633,5583,407,0,0,0,sangue blu,False,,0,giulianocrispo300,False,False
45500,236,134,0,0,0,0,0,Titti Mercury860,False,,0,tittimercury860,False,False
151800,632,1925,4680,0,0,0,0,simone d’onofrio,False,Insta; Simone__donofrio,0,simonedonofrio29,False,False
340,1,630,0,0,0,0,0,Tik Toker,False,No bio yet,0,zubydopybul606,False,True
405,1,535,0,0,0,0,0,Tik Toker,False,No bio yet,0,tukoxycokokak,False,True
52700,4711,531,983500,125,0,0,0,Aaron Brennan,False,"Twitter - aaronbrennan110 
I love all sports",0,aaronbrennan110,False,False
1783,218,727,0,0,0,0,0,domenicobastone5,False,,0,domenicobastone5,False,False
415,3,555,0,0,0,0,0,Tik Toker,False,No bio yet,0,ywokomyrugywyg,False,True
113,287,497,263,17,0,0,0,Francesco Santaniell,False,,0,francescosantanie98,False,False
434,1,573,0,0,0,0,0,Tik Toker,False,No bio yet,0,fehibygagesy936,False,True
398,2,516,0,0,0,0,0,Tik Toker,False,No bio yet,0,byzavenucoc451,False,True
0,90,739,0,0,0,0,0,quomj,False,"Please follow me
My husband is on a business trip for half a month and needs a man to",0,quomj,False,False
